,h,r,t
445,8977,2,11053
446,8977,2,11056
447,8977,2,11055
448,8977,2,11053
449,8977,2,11053
450,8977,2,11053
451,8977,2,11055
452,8977,2,11057
453,8977,2,11053
454,8977,2,11055
455,8977,2,11057
456,8977,2,11053
457,8977,2,11053
458,8977,2,11053
459,8977,2,11056
460,8977,2,11055
461,1219,2,11055
462,1219,2,11053
463,1219,2,11053
464,5999,2,11053
465,5999,2,11053
466,1082,2,11053
467,1082,2,11053
468,1082,2,11053
469,2685,2,11053
470,2685,2,11053
471,2685,2,11053
472,2685,2,11053
473,2685,2,11057
474,2685,2,11054
475,5784,2,11054
476,5784,2,11057
477,5784,2,11057
478,5784,2,11056
479,8196,2,11053
480,8196,2,11053
481,8196,2,11053
482,8196,2,11053
483,8196,2,11057
484,60,2,11056
485,60,2,11054
486,60,2,11056
487,60,2,11053
488,4293,2,11054
489,4293,2,11054
490,4293,2,11054
491,4293,2,11054
492,4293,2,11054
493,4293,2,11054
494,4293,2,11054
495,4293,2,11054
496,2380,2,11054
497,2380,2,11054
498,2380,2,11054
499,2380,2,11054
500,2380,2,11054
501,2380,2,11054
502,2380,2,11054
503,1240,2,11055
504,1240,2,11055
505,1430,2,11053
506,1430,2,11056
507,1430,2,11053
508,8488,2,11057
509,10529,2,11054
510,10529,2,11054
511,10529,2,11055
512,10529,2,11054
513,3660,2,11056
514,3660,2,11056
515,3660,2,11054
516,3660,2,11054
517,7554,2,11056
518,7554,2,11053
519,7554,2,11055
520,7554,2,11053
521,7554,2,11055
522,7554,2,11056
523,4489,2,11053
524,4489,2,11053
525,4489,2,11053
526,4489,2,11053
527,4489,2,11053
528,4489,2,11057
529,7358,2,11053
530,7358,2,11053
531,7358,2,11053
532,7358,2,11053
533,7358,2,11053
534,7358,2,11053
535,7358,2,11055
536,7358,2,11053
537,8277,2,11053
538,8277,2,11053
539,8277,2,11053
540,111,2,11053
541,111,2,11053
542,111,2,11053
543,111,2,11053
544,111,2,11053
545,111,2,11053
546,111,2,11053
547,1794,2,11056
548,1794,2,11055
549,1794,2,11056
550,4872,2,11053
551,4872,2,11053
552,4872,2,11053
553,4515,2,11053
554,4515,2,11053
555,3286,2,11054
556,3286,2,11054
557,3286,2,11054
558,3286,2,11054
559,6237,2,11054
560,6237,2,11053
561,3713,2,11053
562,3713,2,11053
563,7474,2,11056
564,7474,2,11053
565,7474,2,11053
566,7474,2,11053
567,7474,2,11053
568,7474,2,11053
569,7474,2,11053
570,7474,2,11053
571,7474,2,11053
572,7474,2,11053
573,7474,2,11053
574,2720,2,11054
575,2720,2,11054
576,2720,2,11054
577,795,2,11053
578,795,2,11056
579,2965,2,11054
580,2965,2,11054
581,2965,2,11054
582,2965,2,11054
583,338,2,11055
584,338,2,11055
585,338,2,11053
586,338,2,11055
587,338,2,11057
588,338,2,11056
589,338,2,11053
590,338,2,11056
591,338,2,11057
592,338,2,11055
593,338,2,11055
594,338,2,11056
595,338,2,11057
596,338,2,11055
597,338,2,11057
598,338,2,11055
599,338,2,11055
600,338,2,11053
601,338,2,11056
602,338,2,11055
603,338,2,11057
604,1279,2,11053
605,1279,2,11053
606,3274,2,11054
607,3274,2,11054
608,3274,2,11054
609,3274,2,11054
610,3274,2,11054
611,3274,2,11054
612,3274,2,11054
613,489,2,11055
614,489,2,11055
615,8057,2,11053
616,8057,2,11057
617,8057,2,11057
618,8057,2,11057
619,8057,2,11053
620,8057,2,11053
621,8057,2,11056
622,8057,2,11057
623,9424,2,11053
624,9424,2,11053
625,9424,2,11055
626,9424,2,11053
627,9424,2,11053
628,9424,2,11053
629,9424,2,11053
630,6231,2,11053
631,6231,2,11055
632,6231,2,11053
633,6231,2,11053
634,10186,2,11056
635,10186,2,11053
636,10186,2,11055
637,1643,2,11056
638,1643,2,11055
639,1643,2,11054
640,1643,2,11056
641,1643,2,11055
642,1643,2,11053
643,1643,2,11053
644,1643,2,11056
645,1643,2,11054
646,1643,2,11053
647,1643,2,11056
648,1643,2,11054
649,1643,2,11055
650,1643,2,11057
651,1643,2,11053
652,1643,2,11056
653,1643,2,11057
654,1643,2,11056
655,7263,2,11056
656,7263,2,11056
657,7263,2,11057
658,7466,2,11053
659,7466,2,11055
660,7466,2,11056
661,7466,2,11054
662,7466,2,11053
663,7466,2,11056
664,7382,2,11056
665,7382,2,11057
666,7382,2,11057
667,7382,2,11056
668,7382,2,11056
669,1838,2,11053
670,1838,2,11053
671,1838,2,11053
672,1838,2,11053
673,1838,2,11053
674,1838,2,11053
675,1838,2,11053
676,7473,2,11056
677,7473,2,11056
678,7473,2,11056
679,10167,2,11057
680,10167,2,11057
681,10167,2,11055
682,10084,2,11055
683,10084,2,11057
684,10084,2,11057
685,10084,2,11055
686,10084,2,11057
687,10084,2,11055
688,10084,2,11057
689,10084,2,11057
690,10084,2,11057
691,10084,2,11055
692,10084,2,11055
693,10084,2,11056
694,10084,2,11055
695,10084,2,11056
696,10084,2,11057
697,10084,2,11055
698,10084,2,11054
699,4357,2,11053
700,4357,2,11057
701,4357,2,11053
702,2756,2,11054
703,2756,2,11054
704,2756,2,11054
705,2756,2,11054
706,2756,2,11054
707,2756,2,11054
708,10447,2,11053
709,10447,2,11053
710,10447,2,11053
711,10447,2,11053
712,10447,2,11053
713,9506,2,11053
714,9506,2,11053
715,9506,2,11053
716,9506,2,11053
717,9506,2,11053
718,9506,2,11053
719,9506,2,11053
720,9506,2,11053
721,9506,2,11053
722,3773,2,11054
723,3773,2,11054
724,3773,2,11054
725,3773,2,11054
726,3773,2,11054
727,3773,2,11054
728,3773,2,11054
729,3773,2,11054
730,3333,2,11054
731,3333,2,11054
732,3333,2,11054
733,3333,2,11054
734,793,2,11053
735,793,2,11056
736,793,2,11056
737,8864,2,11053
738,8864,2,11056
739,8864,2,11053
740,8864,2,11053
741,7413,2,11053
742,7413,2,11053
743,7413,2,11053
744,4558,2,11054
745,4558,2,11054
746,4558,2,11054
747,4558,2,11054
748,4558,2,11054
749,4558,2,11054
750,4202,2,11053
751,4202,2,11053
752,541,2,11053
753,541,2,11057
754,541,2,11053
755,887,2,11053
756,7111,2,11055
757,7111,2,11053
758,7111,2,11053
759,7111,2,11053
760,7111,2,11053
761,7111,2,11053
762,7111,2,11057
763,7111,2,11055
764,7111,2,11055
765,7111,2,11053
766,7111,2,11053
767,7111,2,11055
768,7111,2,11055
769,7111,2,11053
770,4269,2,11054
771,4269,2,11054
772,4269,2,11054
773,4269,2,11054
774,4269,2,11054
775,4269,2,11054
776,4269,2,11054
777,4269,2,11054
778,3800,2,11056
779,3800,2,11056
780,3800,2,11055
781,3800,2,11056
782,3800,2,11055
783,3800,2,11056
784,3800,2,11057
785,3800,2,11055
786,10224,2,11053
787,10224,2,11053
788,10224,2,11056
789,10224,2,11053
790,10224,2,11053
791,692,2,11055
792,692,2,11057
793,692,2,11055
794,692,2,11053
795,692,2,11055
796,692,2,11055
797,692,2,11056
798,692,2,11057
799,692,2,11057
800,692,2,11057
801,692,2,11055
802,692,2,11055
803,692,2,11055
804,692,2,11054
805,692,2,11053
806,692,2,11055
807,692,2,11054
808,692,2,11057
809,692,2,11055
810,692,2,11056
811,692,2,11054
812,692,2,11057
813,692,2,11053
814,692,2,11055
815,692,2,11054
816,692,2,11053
817,692,2,11055
818,692,2,11056
819,692,2,11054
820,692,2,11057
821,692,2,11055
822,692,2,11054
823,692,2,11054
824,692,2,11055
825,9921,2,11053
826,9921,2,11053
827,401,2,11055
828,401,2,11056
829,401,2,11053
830,401,2,11053
831,401,2,11053
832,9281,2,11053
833,9281,2,11053
834,9281,2,11053
835,8809,2,11053
836,8809,2,11053
837,8809,2,11053
838,8809,2,11056
839,8809,2,11053
840,386,2,11055
841,386,2,11053
842,386,2,11053
843,386,2,11053
844,386,2,11053
845,386,2,11053
846,386,2,11055
847,386,2,11053
848,386,2,11056
849,386,2,11055
850,386,2,11053
851,386,2,11055
852,386,2,11053
853,386,2,11055
854,386,2,11055
855,386,2,11053
856,386,2,11053
857,386,2,11053
858,386,2,11053
859,386,2,11055
860,386,2,11055
861,386,2,11055
862,386,2,11053
863,386,2,11055
864,386,2,11056
865,386,2,11053
866,3255,2,11054
867,3255,2,11054
868,3255,2,11054
869,10493,2,11054
870,10493,2,11054
871,10493,2,11054
872,10493,2,11054
873,5041,2,11054
874,5041,2,11054
875,1151,2,11053
876,1151,2,11053
877,1151,2,11053
878,1151,2,11053
879,1151,2,11053
880,1151,2,11053
881,1151,2,11053
882,1151,2,11053
883,1617,2,11055
884,1617,2,11053
885,1617,2,11054
886,9871,2,11055
887,9871,2,11053
888,2050,2,11054
889,2050,2,11054
890,2050,2,11054
891,2050,2,11054
892,2050,2,11054
893,2050,2,11054
894,2050,2,11054
895,2050,2,11054
896,4857,2,11054
897,4857,2,11054
898,4857,2,11054
899,4857,2,11054
900,4857,2,11054
901,4857,2,11054
902,4857,2,11054
903,4857,2,11054
904,4857,2,11054
905,6547,2,11057
906,6547,2,11056
907,6547,2,11056
908,6547,2,11056
909,6547,2,11057
910,6547,2,11056
911,9457,2,11055
912,9457,2,11056
913,9457,2,11057
914,10190,2,11053
915,10190,2,11053
916,10190,2,11053
917,976,2,11053
918,976,2,11055
919,976,2,11053
920,976,2,11053
921,7271,2,11053
922,7271,2,11053
923,7271,2,11053
924,7271,2,11053
925,10700,2,11053
926,10700,2,11055
927,9743,2,11053
928,9743,2,11053
929,9743,2,11053
930,9743,2,11053
931,9743,2,11053
932,9743,2,11053
933,9743,2,11053
934,9743,2,11053
935,9743,2,11055
936,9743,2,11053
937,9743,2,11053
938,9743,2,11053
939,9743,2,11055
940,10613,2,11054
941,10613,2,11056
942,10613,2,11053
943,10613,2,11056
944,10613,2,11057
945,10613,2,11053
946,10613,2,11053
947,10613,2,11053
948,10613,2,11056
949,8066,2,11055
950,8066,2,11056
951,8066,2,11056
952,8066,2,11056
953,8066,2,11056
954,6699,2,11056
955,6699,2,11057
956,6699,2,11056
957,6699,2,11056
958,6699,2,11056
959,723,2,11053
960,723,2,11053
961,723,2,11053
962,3561,2,11053
963,3561,2,11053
964,3561,2,11053
965,3561,2,11053
966,3561,2,11053
967,3561,2,11053
968,3561,2,11053
969,3561,2,11053
970,3561,2,11053
971,3561,2,11053
972,3561,2,11053
973,3561,2,11053
974,3561,2,11053
975,3561,2,11053
976,5488,2,11056
977,5488,2,11053
978,8468,2,11057
979,8468,2,11057
980,8468,2,11056
981,6327,2,11056
982,6327,2,11057
983,6327,2,11056
984,1333,2,11055
985,1333,2,11056
986,1333,2,11054
987,1333,2,11057
988,5603,2,11053
989,5603,2,11053
990,5603,2,11053
991,5603,2,11053
992,9840,2,11056
993,9840,2,11055
994,9840,2,11053
995,9840,2,11053
996,10478,2,11053
997,10478,2,11055
998,10478,2,11055
999,10478,2,11055
1000,2669,2,11053
1001,2669,2,11053
1002,2669,2,11053
1003,2669,2,11053
1004,2669,2,11053
1005,2669,2,11053
1006,6946,2,11056
1007,6946,2,11056
1008,6946,2,11054
1009,6946,2,11056
1010,8256,2,11053
1011,8256,2,11053
1012,8256,2,11053
1013,8485,2,11057
1014,8485,2,11057
1015,8485,2,11057
1016,480,2,11055
1017,480,2,11053
1018,480,2,11053
1019,480,2,11053
1020,480,2,11055
1021,480,2,11053
1022,480,2,11055
1023,7269,2,11053
1024,7269,2,11057
1025,7269,2,11056
1026,7269,2,11055
1027,7269,2,11055
1028,2268,2,11054
1029,2268,2,11054
1030,2268,2,11054
1031,707,2,11055
1032,707,2,11055
1033,4748,2,11053
1034,4748,2,11053
1035,4748,2,11053
1036,4748,2,11056
1037,4748,2,11053
1038,4748,2,11053
1039,4748,2,11053
1040,7902,2,11055
1041,7902,2,11055
1042,7902,2,11053
1043,7902,2,11055
1044,7902,2,11053
1045,5157,2,11053
1046,5157,2,11053
1047,9494,2,11053
1048,9494,2,11053
1049,9494,2,11053
1050,9872,2,11055
1051,9872,2,11055
1052,9872,2,11053
1053,9872,2,11055
1054,9872,2,11055
1055,9872,2,11056
1056,3216,2,11054
1057,3216,2,11054
1058,3216,2,11054
1059,3216,2,11054
1060,2528,2,11056
1061,2528,2,11057
1062,2528,2,11057
1063,2528,2,11057
1064,2528,2,11057
1065,2528,2,11055
1066,2528,2,11056
1067,1338,2,11054
1068,1338,2,11054
1069,1338,2,11057
1070,3920,2,11053
1071,3920,2,11053
1072,3920,2,11053
1073,3920,2,11053
1074,8941,2,11057
1075,8941,2,11057
1076,8941,2,11056
1077,8941,2,11053
1078,8941,2,11053
1079,8941,2,11057
1080,10509,2,11055
1081,10509,2,11055
1082,10509,2,11055
1083,10509,2,11055
1084,7783,2,11057
1085,7783,2,11057
1086,676,2,11053
1087,676,2,11053
1088,676,2,11053
1089,676,2,11053
1090,676,2,11053
1091,2175,2,11053
1092,2175,2,11053
1093,296,2,11053
1094,296,2,11053
1095,10221,2,11053
1096,10221,2,11053
1097,10221,2,11053
1098,2666,2,11054
1099,2666,2,11054
1100,2666,2,11054
1101,2666,2,11054
1102,4566,2,11054
1103,4566,2,11054
1104,4566,2,11054
1105,4566,2,11054
1106,4566,2,11054
1107,4566,2,11054
1108,6644,2,11056
1109,4982,2,11054
1110,4982,2,11054
1111,1904,2,11054
1112,1904,2,11054
1113,1904,2,11054
1114,1904,2,11054
1115,1904,2,11054
1116,1904,2,11054
1117,5750,2,11053
1118,5750,2,11053
1119,5750,2,11053
1120,5750,2,11053
1121,9438,2,11053
1122,9438,2,11053
1123,9438,2,11055
1124,9438,2,11053
1125,9438,2,11053
1126,9438,2,11054
1127,9438,2,11053
1128,9438,2,11056
1129,2671,2,11053
1130,2671,2,11053
1131,2671,2,11053
1132,6696,2,11055
1133,6696,2,11055
1134,10452,2,11053
1135,10452,2,11054
1136,10452,2,11055
1137,10452,2,11055
1138,10452,2,11055
1139,10452,2,11053
1140,10452,2,11055
1141,10452,2,11053
1142,10452,2,11055
1143,4496,2,11054
1144,4496,2,11054
1145,4496,2,11054
1146,4496,2,11054
1147,4496,2,11054
1148,4496,2,11054
1149,4496,2,11054
1150,4496,2,11054
1151,4496,2,11054
1152,1297,2,11053
1153,1297,2,11053
1154,1297,2,11053
1155,1297,2,11053
1156,1297,2,11053
1157,1297,2,11053
1158,1297,2,11053
1159,1297,2,11053
1160,1297,2,11053
1161,1297,2,11053
1162,1297,2,11053
1163,1297,2,11053
1164,1297,2,11053
1165,5324,2,11054
1166,5324,2,11056
1167,5324,2,11053
1168,5324,2,11055
1169,5324,2,11056
1170,5324,2,11054
1171,5324,2,11054
1172,5324,2,11056
1173,5324,2,11054
1174,5324,2,11054
1175,5324,2,11055
1176,5324,2,11057
1177,5324,2,11056
1178,5324,2,11057
1179,1558,2,11053
1180,1558,2,11053
1181,1558,2,11053
1182,1558,2,11056
1183,8820,2,11053
1184,8820,2,11053
1185,8820,2,11053
1186,8820,2,11053
1187,4216,2,11054
1188,4216,2,11054
1189,4216,2,11054
1190,4216,2,11054
1191,4216,2,11054
1192,4216,2,11054
1193,4216,2,11054
1194,4216,2,11054
1195,3360,2,11054
1196,3360,2,11054
1197,3360,2,11054
1198,3360,2,11054
1199,3360,2,11054
1200,9083,2,11055
1201,9083,2,11055
1202,8606,2,11053
1203,8606,2,11053
1204,8606,2,11055
1205,8606,2,11057
1206,8606,2,11053
1207,6146,2,11054
1208,6146,2,11056
1209,987,2,11055
1210,987,2,11053
1211,987,2,11055
1212,5869,2,11053
1213,5869,2,11053
1214,5869,2,11053
1215,9560,2,11053
1216,9560,2,11053
1217,7759,2,11053
1218,7759,2,11053
1219,7759,2,11055
1220,7759,2,11053
1221,4928,2,11053
1222,4928,2,11053
1223,4928,2,11053
1224,4928,2,11053
1225,4928,2,11053
1226,4928,2,11053
1227,6609,2,11056
1228,6609,2,11053
1229,6609,2,11053
1230,6609,2,11056
1231,2243,2,11056
1232,2243,2,11057
1233,2243,2,11057
1234,6015,2,11057
1235,6015,2,11056
1236,6015,2,11056
1237,6015,2,11057
1238,6015,2,11056
1239,8211,2,11053
1240,8211,2,11053
1241,8211,2,11053
1242,6703,2,11056
1243,6703,2,11057
1244,6703,2,11056
1245,6703,2,11056
1246,314,2,11055
1247,3377,2,11053
1248,3377,2,11053
1249,3377,2,11053
1250,3377,2,11053
1251,3377,2,11053
1252,3377,2,11053
1253,8326,2,11053
1254,8326,2,11053
1255,8326,2,11053
1256,8326,2,11053
1257,8326,2,11057
1258,8326,2,11053
1259,6453,2,11056
1260,5184,2,11057
1261,5184,2,11056
1262,5184,2,11057
1263,5184,2,11056
1264,5184,2,11057
1265,5184,2,11055
1266,5184,2,11057
1267,5184,2,11055
1268,5184,2,11053
1269,5184,2,11055
1270,5184,2,11054
1271,5184,2,11056
1272,5184,2,11054
1273,5184,2,11057
1274,5184,2,11053
1275,5184,2,11055
1276,5184,2,11055
1277,5184,2,11054
1278,5298,2,11056
1279,5298,2,11057
1280,8821,2,11053
1281,8821,2,11053
1282,8821,2,11053
1283,8821,2,11053
1284,8821,2,11053
1285,10496,2,11056
1286,10496,2,11056
1287,10496,2,11056
1288,10496,2,11056
1289,10496,2,11056
1290,6019,2,11055
1291,6019,2,11053
1292,6019,2,11056
1293,6019,2,11053
1294,6019,2,11055
1295,19,2,11053
1296,19,2,11053
1297,19,2,11053
1298,6162,2,11056
1299,6162,2,11057
1300,10612,2,11057
1301,10612,2,11056
1302,10612,2,11053
1303,10612,2,11057
1304,10612,2,11055
1305,10612,2,11053
1306,10612,2,11056
1307,10612,2,11053
1308,10612,2,11055
1309,10612,2,11053
1310,10612,2,11057
1311,6540,2,11053
1312,6540,2,11056
1313,6540,2,11056
1314,6540,2,11057
1315,465,2,11056
1316,465,2,11053
1317,465,2,11054
1318,465,2,11053
1319,1100,2,11053
1320,1100,2,11053
1321,1100,2,11053
1322,1100,2,11054
1323,1100,2,11053
1324,1100,2,11053
1325,1100,2,11053
1326,1100,2,11057
1327,1100,2,11053
1328,8423,2,11053
1329,9581,2,11057
1330,9581,2,11053
1331,9581,2,11057
1332,9581,2,11053
1333,9581,2,11056
1334,9581,2,11053
1335,9581,2,11053
1336,9581,2,11053
1337,9581,2,11056
1338,9581,2,11053
1339,9581,2,11053
1340,6674,2,11054
1341,6674,2,11054
1342,6674,2,11054
1343,6674,2,11054
1344,1018,2,11053
1345,1018,2,11054
1346,1018,2,11053
1347,1018,2,11053
1348,1018,2,11053
1349,7792,2,11053
1350,7792,2,11057
1351,7792,2,11053
1352,240,2,11053
1353,240,2,11053
1354,8801,2,11053
1355,8801,2,11053
1356,8801,2,11053
1357,8801,2,11055
1358,8801,2,11055
1359,8846,2,11055
1360,8846,2,11053
1361,8846,2,11055
1362,8846,2,11055
1363,8846,2,11053
1364,350,2,11056
1365,350,2,11053
1366,350,2,11053
1367,350,2,11056
1368,350,2,11054
1369,1023,2,11053
1370,1023,2,11053
1371,1023,2,11053
1372,1023,2,11053
1373,907,2,11056
1374,907,2,11053
1375,907,2,11056
