,h,r,t
38564,7026,0,10721
43687,8058,0,10764
52717,9971,0,10735
52401,9895,0,10726
19100,3367,0,11022
34845,6213,0,10723
48765,9123,0,10738
34073,6050,0,10894
26756,4662,0,10806
10570,1881,0,11019
48923,9161,0,10734
15693,2756,0,11021
6319,1081,0,10837
22512,3989,0,11025
17699,3120,0,11022
6889,1171,0,10944
2740,475,0,10843
10339,1841,0,10759
46122,8595,0,10891
25815,4498,0,11022
9013,1585,0,10868
31106,5427,0,10803
10287,1833,0,10795
35596,6357,0,10988
12853,2252,0,11021
51944,9793,0,10723
53037,10052,0,10736
35413,6321,0,10755
18269,3215,0,10796
12394,2176,0,11017
27499,4800,0,11023
2719,471,0,10720
35637,6368,0,10940
28872,5008,0,11034
39533,7212,0,10725
51067,9604,0,10803
35688,6379,0,10940
9450,1663,0,10823
1945,347,0,10764
18201,3202,0,11021
53415,10128,0,10764
15736,2764,0,10785
22283,3952,0,10764
38708,7048,0,10767
5946,1012,0,10735
5526,946,0,10767
30530,5309,0,10938
40300,7360,0,10966
38033,6909,0,10843
987,186,0,10717
28243,4903,0,11019
2633,457,0,10866
3652,652,0,10793
15431,2711,0,11026
43205,7961,0,10910
20430,3618,0,10720
32228,5647,0,10735
29153,5056,0,11023
8941,1572,0,10715
47942,8956,0,10843
20467,3625,0,10996
46877,8740,0,10734
47017,8766,0,10764
12960,2272,0,10834
25280,4420,0,11017
14609,2568,0,11019
41229,7559,0,10910
40638,7427,0,10720
29482,5111,0,11034
41167,7544,0,10812
20488,3630,0,10734
23705,4181,0,10740
15620,2744,0,11024
14865,2609,0,10893
20734,3681,0,10720
16009,2808,0,11024
29441,5103,0,11024
42201,7756,0,10837
30634,5330,0,10717
46085,8587,0,10720
9184,1606,0,10815
7829,1353,0,10780
17332,3053,0,11022
55778,10659,0,10718
23905,4212,0,10812
45748,8516,0,10801
3664,656,0,10778
6226,1063,0,10716
2991,519,0,10753
36623,6590,0,10940
54971,10491,0,10776
46436,8645,0,10820
50978,9583,0,10759
30276,5264,0,10742
3148,551,0,10717
2156,384,0,10745
28917,5018,0,10825
15868,2785,0,11023
23745,4188,0,11026
21827,3870,0,11025
11319,1994,0,11017
17122,3015,0,11020
12983,2275,0,11021
25734,4488,0,11023
10447,1860,0,11024
2510,436,0,10880
30157,5243,0,10895
24624,4322,0,11025
13455,2366,0,11026
49269,9228,0,10779
23167,4089,0,11024
17751,3127,0,10866
11763,2067,0,11023
34974,6241,0,10948
21118,3748,0,11017
10880,1927,0,11017
2338,406,0,10743
5958,1014,0,10798
22317,3957,0,11023
43621,8042,0,10813
8768,1544,0,10717
11001,1949,0,10812
21022,3732,0,10717
3158,553,0,10726
14568,2561,0,11020
28644,4976,0,10878
9640,1699,0,10731
43618,8042,0,10762
48080,8981,0,10768
45396,8441,0,10717
28728,4989,0,11017
15097,2644,0,11024
51869,9776,0,10715
39915,7292,0,10720
40118,7324,0,10757
1937,345,0,10734
19839,3505,0,10764
49422,9265,0,10815
11875,2089,0,10801
7655,1320,0,10744
33596,5946,0,11023
49745,9329,0,10735
46147,8600,0,10717
3642,649,0,10846
31563,5521,0,10878
45535,8472,0,10764
12516,2198,0,11021
11754,2065,0,11022
51360,9668,0,10776
41648,7643,0,10773
48541,9079,0,10787
13026,2284,0,11021
34767,6195,0,10787
42810,7880,0,10724
25832,4503,0,11019
10378,1847,0,10774
1610,295,0,10882
5136,897,0,10876
29758,5162,0,10745
49852,9348,0,10738
55607,10635,0,10771
30968,5396,0,10740
14819,2602,0,11022
31197,5449,0,10824
40110,7324,0,10774
43425,8003,0,10745
45612,8492,0,10882
33638,5954,0,10746
27781,4847,0,10780
39420,7186,0,10787
30343,5274,0,10815
49056,9190,0,10812
40109,7324,0,10894
53343,10111,0,10909
703,124,0,10785
54360,10350,0,10834
44525,8249,0,10795
12099,2124,0,11021
32207,5643,0,10764
33029,5828,0,10787
15078,2641,0,10843
24702,4332,0,11034
15074,2640,0,10716
36651,6597,0,11018
14775,2594,0,11026
3512,621,0,10878
47086,8779,0,10851
33299,5885,0,10766
53512,10151,0,10734
52431,9901,0,10715
4532,794,0,10757
23556,4156,0,10777
17313,3049,0,11021
1717,317,0,10735
53923,10248,0,10758
42133,7744,0,11017
28656,4978,0,11026
44726,8293,0,10734
23076,4075,0,10729
2888,499,0,10727
20842,3702,0,10938
577,100,0,10717
46927,8752,0,10979
55265,10568,0,10762
38438,7001,0,10920
14487,2549,0,10719
592,103,0,10864
32997,5822,0,10764
34722,6184,0,10755
40009,7304,0,10957
35509,6342,0,10988
20101,3556,0,10972
13141,2307,0,10802
46693,8706,0,10820
86,16,0,10717
38779,7062,0,10774
40071,7314,0,10786
36598,6582,0,10780
11644,2049,0,11024
6199,1057,0,10727
12754,2235,0,10748
9895,1747,0,10907
41073,7513,0,10909
45353,8429,0,10731
25724,4486,0,10869
37722,6839,0,10940
24755,4338,0,11023
33582,5944,0,10764
191,36,0,10755
10943,1939,0,11022
45987,8566,0,10723
44731,8294,0,10795
9287,1634,0,10757
5662,966,0,10785
3479,614,0,10782
43319,7984,0,10720
54309,10339,0,10738
19322,3406,0,10714
6869,1167,0,10866
17377,3062,0,11022
43009,7919,0,10735
32669,5742,0,10717
6769,1152,0,10742
30851,5371,0,10765
48585,9090,0,10715
7869,1357,0,10880
13784,2421,0,11020
8116,1392,0,10847
19708,3479,0,10726
36414,6541,0,10787
49895,9357,0,10755
40503,7402,0,10765
17431,3070,0,11020
9436,1663,0,10937
26059,4543,0,11019
10509,1870,0,10734
31254,5458,0,10721
49344,9243,0,10891
16409,2888,0,11020
28514,4951,0,10996
31067,5419,0,10934
27373,4780,0,11025
51490,9694,0,11021
41098,7521,0,10877
7271,1244,0,10754
1520,280,0,10767
54730,10438,0,10820
5621,960,0,10806
5720,971,0,10812
923,172,0,10778
52498,9918,0,10814
25052,4383,0,11023
5909,1003,0,10717
33931,6017,0,10787
4388,772,0,10746
54850,10464,0,10878
33146,5849,0,10756
28794,4996,0,10720
24084,4234,0,11022
33220,5867,0,10861
4744,823,0,10757
53632,10182,0,10764
29786,5167,0,10734
55522,10619,0,10773
5364,922,0,10715
35411,6321,0,10940
37598,6811,0,11026
22136,3924,0,10996
27768,4845,0,10735
4622,809,0,10822
48046,8977,0,10717
21563,3836,0,10735
21334,3792,0,10996
15645,2749,0,11019
15356,2696,0,10744
35721,6385,0,11019
10122,1796,0,10846
32246,5652,0,10715
1336,241,0,10715
34612,6158,0,10766
53581,10169,0,10752
29898,5189,0,10725
52352,9882,0,10767
29241,5070,0,11020
45062,8367,0,10735
40940,7485,0,10758
8900,1564,0,10715
4143,733,0,10755
30310,5268,0,10748
49559,9295,0,10720
9006,1584,0,10903
16947,2983,0,11027
17681,3118,0,11017
54531,10388,0,10789
28605,4968,0,11019
18160,3194,0,11022
42416,7800,0,10764
2875,498,0,10834
40709,7441,0,10755
48075,8980,0,10734
19211,3389,0,10835
21850,3872,0,11018
49019,9182,0,10714
19891,3517,0,10825
5732,972,0,10726
43095,7937,0,10751
23747,4188,0,11021
46918,8749,0,10773
45495,8461,0,10726
33411,5910,0,10826
48927,9162,0,10793
14519,2555,0,11017
7380,1266,0,10806
28896,5013,0,11019
10022,1776,0,10716
45759,8519,0,10751
9141,1600,0,10735
32911,5801,0,10745
42482,7816,0,11034
11962,2105,0,11024
45361,8432,0,10764
34738,6189,0,10787
30977,5398,0,10755
52712,9970,0,10779
2096,377,0,10889
43585,8039,0,10755
42657,7846,0,10773
12441,2183,0,10762
16266,2853,0,10915
26323,4579,0,11023
44248,8187,0,10768
1501,275,0,10797
40022,7305,0,10727
10649,1894,0,11024
45849,8539,0,10714
14426,2539,0,11018
16711,2942,0,11024
38507,7012,0,10787
36894,6654,0,10940
53426,10131,0,10715
52885,10014,0,10745
415,78,0,10820
12165,2138,0,10908
14654,2576,0,11021
19692,3473,0,11031
15585,2738,0,10755
40664,7431,0,10717
9754,1716,0,10890
55465,10609,0,10917
42985,7915,0,10717
12290,2160,0,11017
34790,6202,0,10734
47474,8858,0,11024
22555,3998,0,10755
36358,6529,0,10940
7116,1212,0,10714
9160,1600,0,10950
8026,1377,0,10745
15008,2630,0,11019
47611,8892,0,10766
49732,9326,0,10727
52372,9887,0,10734
22495,3985,0,10738
50668,9516,0,10755
29912,5191,0,10885
18918,3334,0,11019
26906,4693,0,10745
31029,5410,0,10720
18356,3234,0,11021
32025,5606,0,10778
46466,8650,0,10715
5383,927,0,10724
8162,1405,0,10999
9801,1724,0,10792
16659,2932,0,11021
20421,3615,0,10770
52891,10015,0,10779
24466,4299,0,11023
26260,4570,0,11023
9242,1621,0,10834
874,159,0,10774
40962,7490,0,10812
20819,3700,0,10766
33698,5966,0,10770
657,116,0,10867
7178,1225,0,10779
24600,4320,0,10878
40679,7434,0,10764
10653,1895,0,11027
48049,8977,0,10766
11566,2036,0,11020
15773,2770,0,11024
31753,5558,0,10715
20849,3704,0,10996
423,79,0,10778
20479,3628,0,10850
4861,844,0,10808
31173,5445,0,10768
29164,5057,0,11020
43346,7989,0,10743
28891,5012,0,11018
32627,5736,0,10795
6665,1133,0,10719
29364,5090,0,11034
26785,4668,0,10806
13813,2427,0,10850
50155,9413,0,10850
14274,2514,0,11018
33843,5996,0,10794
54016,10271,0,10735
34161,6067,0,10717
21542,3829,0,11020
19014,3350,0,11020
30495,5303,0,10792
22047,3906,0,11019
41589,7631,0,10727
18836,3321,0,11026
43642,8047,0,10735
11905,2094,0,10717
10499,1868,0,11023
29576,5127,0,11034
5225,902,0,10758
41679,7651,0,10766
25195,4408,0,11034
22710,4022,0,11021
16283,2857,0,11023
28366,4924,0,11021
8311,1448,0,10776
45686,8505,0,10795
21084,3742,0,10798
2000,356,0,10795
25525,4458,0,11017
14112,2483,0,10733
51523,9699,0,11027
22444,3976,0,11034
482,86,0,10806
35407,6319,0,10828
5630,963,0,10734
8360,1458,0,10833
51972,9801,0,10880
15350,2694,0,10717
12965,2273,0,11017
44633,8272,0,10756
37460,6783,0,10988
38662,7041,0,10924
42499,7819,0,10727
51792,9760,0,10824
37792,6853,0,10761
50876,9565,0,10833
8231,1425,0,11000
22007,3900,0,10765
19497,3437,0,10756
17976,3160,0,11024
33113,5845,0,10787
28437,4937,0,10717
43807,8083,0,11008
20597,3655,0,10747
27122,4743,0,11010
35553,6352,0,10716
36222,6498,0,10940
16669,2934,0,10754
19454,3431,0,10717
32742,5760,0,10894
37985,6898,0,10787
17216,3031,0,11023
28934,5021,0,11021
52886,10014,0,10820
46295,8621,0,10774
42379,7791,0,10744
54903,10475,0,10940
35926,6430,0,10796
40686,7435,0,10755
32587,5726,0,10812
28560,4960,0,10737
40539,7407,0,10766
26447,4599,0,10879
37465,6784,0,10888
48016,8969,0,10755
50498,9485,0,10764
33435,5916,0,10757
13254,2332,0,11017
30386,5285,0,10909
22162,3930,0,11027
19522,3442,0,10778
27271,4765,0,11024
26530,4617,0,10723
19669,3467,0,10754
22923,4055,0,11022
18554,3273,0,11022
44296,8197,0,10866
8305,1447,0,10715
51400,9676,0,10717
32528,5711,0,10715
28385,4928,0,10838
47009,8765,0,10762
10672,1897,0,11024
7201,1228,0,10818
41822,7679,0,10727
10483,1866,0,11019
22103,3918,0,10757
49279,9231,0,10738
11166,1971,0,11017
32680,5745,0,10720
52169,9842,0,10717
11427,2013,0,11027
31580,5525,0,10715
31154,5440,0,10816
13872,2438,0,11026
1015,190,0,10750
16542,2910,0,10714
22233,3942,0,11034
28742,4990,0,11024
33986,6028,0,10720
38486,7007,0,10793
39131,7128,0,10832
52827,9999,0,10755
561,96,0,10772
44192,8172,0,10834
19941,3523,0,10866
15164,2659,0,10808
27083,4733,0,10738
10659,1895,0,11020
22277,3950,0,10735
12722,2229,0,11017
4513,792,0,10750
31345,5477,0,10766
30017,5215,0,10797
3153,552,0,10727
995,187,0,10848
244,43,0,10816
30776,5361,0,10745
17900,3150,0,10780
43722,8065,0,10764
20774,3688,0,10958
47113,8781,0,10747
23523,4148,0,10715
46614,8687,0,10988
3671,657,0,10873
42405,7797,0,10745
7639,1315,0,10745
2656,460,0,10796
49251,9225,0,10968
52920,10022,0,10947
16572,2916,0,10717
33406,5909,0,10994
14120,2485,0,11023
5270,902,0,10739
44647,8274,0,10766
42269,7768,0,10744
17344,3055,0,10843
42616,7839,0,10929
4755,827,0,10863
43607,8042,0,10841
21929,3888,0,11019
3896,699,0,10720
32652,5738,0,10807
43040,7924,0,10802
19434,3428,0,10771
26170,4559,0,11022
55280,10570,0,10734
17625,3110,0,11024
55733,10656,0,10811
50590,9502,0,10778
35286,6297,0,10757
51922,9789,0,10834
799,141,0,10880
44770,8304,0,10727
6709,1143,0,10814
1151,216,0,10862
22932,4056,0,11027
30324,5269,0,10733
33802,5990,0,10767
33274,5880,0,10787
30871,5375,0,11021
36625,6590,0,10812
40565,7412,0,11022
15261,2680,0,11022
34928,6233,0,10812
17423,3069,0,10795
1997,355,0,10803
11439,2014,0,10928
8421,1466,0,10795
22204,3936,0,10714
6595,1122,0,10817
16927,2978,0,11023
5235,902,0,10738
13540,2380,0,11023
51596,9717,0,10727
35524,6345,0,10773
48794,9128,0,10718
44725,8292,0,10955
25552,4461,0,10717
18612,3283,0,11025
7135,1216,0,10744
27411,4786,0,10806
1897,340,0,10820
44853,8319,0,10884
11870,2088,0,11023
49241,9224,0,10789
46901,8745,0,10717
27248,4763,0,11022
35591,6357,0,10940
16728,2946,0,11019
45569,8481,0,11043
48378,9049,0,10766
50049,9388,0,10863
55792,10659,0,10770
26856,4684,0,10734
12141,2133,0,10764
37239,6733,0,10715
27520,4806,0,11019
13806,2425,0,10715
42659,7846,0,10727
4077,727,0,10803
12659,2220,0,10781
12297,2160,0,11024
41137,7534,0,10800
48625,9096,0,10759
22095,3917,0,10727
35822,6409,0,11018
15828,2779,0,11020
11880,2090,0,11020
44694,8287,0,10834
1259,232,0,10750
14764,2593,0,11017
37231,6731,0,10720
48840,9141,0,10719
32072,5618,0,10715
16393,2884,0,10911
24633,4322,0,11020
48183,9006,0,10779
25062,4385,0,10714
51297,9651,0,10764
46992,8763,0,10719
16151,2832,0,11020
42330,7779,0,10822
31815,5568,0,10891
12738,2232,0,10996
55067,10516,0,10717
25058,4384,0,10744
10244,1824,0,10764
25696,4480,0,11022
34720,6184,0,10940
11025,1955,0,11017
18517,3266,0,10779
11384,2006,0,11017
52521,9924,0,10762
14874,2610,0,11027
30201,5250,0,10734
41739,7660,0,10909
23393,4127,0,10727
5821,987,0,10802
748,129,0,10876
51993,9802,0,10912
35854,6417,0,10880
20270,3585,0,10827
33807,5991,0,10787
